Currency Portfolio,SD_A,SD_B,Correlation,Weight_A,Weight_B,SD_Portfolio
"EURJPY, AUDJPY",0.003256026254424975,0.005240560682396569,0.716177262,0.8989999756235301,0.10000002641565264,0.0033226761652878087
"EURJPY, AUDNZD",0.003256026254424975,0.0026594863002857142,-0.115288719,0.4106498795876724,0.5883501210991509,0.001937450023949579
"EURJPY, AUDUSD",0.003256026254424975,0.005694980352076298,0.373580484,0.8731926663895861,0.12580733362152852,0.003180998218390856
"EURJPY, CADCHF",0.003256026254424975,0.004572709310072677,0.336228047,0.7389884269232481,0.26001157307733036,0.0030210982305135187
"EURJPY, CADJPY",0.003256026254424975,0.005006462273863392,0.797417698,0.8989999999940483,0.10000000002122444,0.0033400821677470683
"EURJPY, CHFJPY",0.003256026254424975,0.003540047728632148,0.848068321,0.7686824825779015,0.23031752929128302,0.0032233944844358127
"EURJPY, GBPAUD",0.003256026254424975,0.0037629093399284635,-0.095247661,0.5650920235214829,0.4339079765068042,0.002340734985429424
"EURJPY, GBPCAD",0.003256026254424975,0.0036677072192094467,-0.401605222,0.5418347837239391,0.45716521631330725,0.0018836017576447106
"EURJPY, GBPCHF",0.003256026254424975,0.003926983303523448,0.079824385,0.5998648714295688,0.3991351286404359,0.0026000726790911363
"EURJPY, GBPJPY",0.003256026254424975,0.004258289372084055,0.705432944,0.8989999911103811,0.10000001638954431,0.0032416425448356647
"EURJPY, GBPNZD",0.003256026254424975,0.004486613738405376,-0.133177906,0.6369715868217016,0.36202841321753765,0.0024581423801013015
"EURJPY, GBPUSD",0.003256026254424975,0.004008065275354046,0.387996854,0.6644961760130031,0.3345038241168793,0.002954614171666177
"EURJPY, NZDCAD",0.003256026254424975,0.004623473598561431,-0.050208896,0.660206947320873,0.33879305268290644,0.0025954735664034086
"EURJPY, NZDCHF",0.003256026254424975,0.0053085813137106206,-0.056674248,0.7150175920918445,0.28398240791111484,0.0027009237301969377
"EURJPY, NZDJPY",0.003256026254424975,0.006011406094778575,0.636434106,0.899000000078616,0.10000000002518822,0.0033420755766646565
"EURJPY, NZDUSD",0.003256026254424975,0.00631840931500294,0.378308004,0.898999547841906,0.10000051529117421,0.003219767026255857
"EURJPY, USDCAD",0.003256026254424975,0.00428429729945368,-0.636537794,0.5824030180668653,0.4165969819974953,0.0015725071271201277
